"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rnf220",0,6.00848067857963,0.848,0.081,0,"0","Rnf220"
"Mog",0,6.40006869913389,0.786,0.05,0,"0","Mog"
"ENSRNOG00000027542",0,6.83515664864554,0.699,0.023,0,"0","ENSRNOG00000027542"
"Erbb4",0,1.29437731835706,0.964,0.291,0,"0","Erbb4"
"Hapln2",0,6.85341189373192,0.687,0.026,0,"0","Hapln2"
"Enpp2",0,3.32884150032247,0.891,0.255,0,"0","Enpp2"
"Apod",0,4.61556484552484,0.881,0.266,0,"0","Apod"
"Mag",0,5.32851649641001,0.684,0.076,0,"0","Mag"
"Plekhh1",0,5.72065884349407,0.673,0.065,0,"0","Plekhh1"
"ENSRNOG00000067530",0,3.56169022788755,0.864,0.261,0,"0","ENSRNOG00000067530"
"Bcas1",0,2.7414281437207,0.864,0.263,0,"0","Bcas1"
"Ninj2",0,5.11560974462511,0.649,0.055,0,"0","Ninj2"
"Ugt8",0,4.99223233486665,0.651,0.082,0,"0","Ugt8"
"Cfap20dc",0,4.66851802476466,0.73,0.165,0,"0","Cfap20dc"
"Gab1",0,3.85305388063745,0.683,0.131,0,"0","Gab1"
"Cldn11",0,4.79613212484955,0.647,0.104,0,"0","Cldn11"
"Septin4",0,4.43664032463874,0.734,0.205,0,"0","Septin4"
"Ppp1r16b",0,4.23794352504656,0.836,0.314,0,"0","Ppp1r16b"
"Ano4",0,3.74779264606651,0.951,0.429,0,"0","Ano4"
"Slain1",0,4.37150016541948,0.868,0.349,0,"0","Slain1"
"Cdh9",0,3.75940580025605,0.945,0.136,0,"1","Cdh9"
"Chst9",0,3.39999197289956,0.903,0.117,0,"1","Chst9"
"Unc5d",0,3.30673816478558,0.998,0.239,0,"1","Unc5d"
"Vav3",0,3.35135514294512,0.977,0.221,0,"1","Vav3"
"Synpr",0,2.74965458412638,0.908,0.153,0,"1","Synpr"
"Sema5a",0,2.8614914547395,0.977,0.237,0,"1","Sema5a"
