"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Cldn11",0,2.53381510740953,0.871,0.442,0,"0","Cldn11"
"Mag",0,2.35170096691145,0.749,0.35,0,"0","Mag"
"S100a4",0,3.7532044764606,0.478,0.081,0,"0","S100a4"
"Hapln2",0,2.10868251250692,0.71,0.346,0,"0","Hapln2"
"Cryab",0,2.08538082230687,0.837,0.489,0,"0","Cryab"
"Csrp1",0,1.70022931765225,0.894,0.558,0,"0","Csrp1"
"S1pr5",0,2.26181195077385,0.514,0.195,0,"0","S1pr5"
"Igfbp5",0,1.27648735515968,0.875,0.565,0,"0","Igfbp5"
"Marcksl1",0,1.14839762851383,0.929,0.625,0,"0","Marcksl1"
"Tppp3",0,1.10309546578859,0.807,0.515,0,"0","Tppp3"
"Zeb2",0,1.30088362593211,0.864,0.591,0,"0","Zeb2"
"Ldlrap1",0,1.96948830444232,0.498,0.229,0,"0","Ldlrap1"
"Clmn",0,0.909397360560972,0.944,0.676,0,"0","Clmn"
"Fxyd1",0,1.28439323909711,0.922,0.656,0,"0","Fxyd1"
"St3gal4",0,1.63070088678997,0.853,0.593,0,"0","St3gal4"
"Sept4",0,1.71235020265487,0.737,0.479,0,"0","Sept4"
"Car2",0,1.59398057362367,0.761,0.511,0,"0","Car2"
"Olig1",0,1.78281768425481,0.573,0.324,0,"0","Olig1"
"Phldb1",0,1.773440910529,0.668,0.424,0,"0","Phldb1"
"Fgfr2",0,1.48980819660422,0.722,0.478,0,"0","Fgfr2"
"Hs3st2",0,3.93926122218661,0.669,0.057,0,"1","Hs3st2"
"Stac2",0,2.66649493971936,0.947,0.346,0,"1","Stac2"
"Ier5",0,1.85297507314366,0.926,0.373,0,"1","Ier5"
"Arc",0,1.95113939611186,0.737,0.214,0,"1","Arc"
"Tmem178",0,2.4063238236362,0.701,0.183,0,"1","Tmem178"
"Satb2",0,2.10252156934729,0.66,0.153,0,"1","Satb2"
"Nxph3",0,3.13275650061595,0.591,0.086,0,"1","Nxph3"
"Ephb6",0,2.1286593496422,0.716,0.222,0,"1","Ephb6"
"Dkk3",0,1.80632797573698,0.983,0.493,0,"1","Dkk3"
"Mmp17",0,1.93496528036205,0.744,0.257,0,"1","Mmp17"
"Anxa4",0,2.02914281577881,0.688,0.204,0,"1","Anxa4"
"Diras2",0,1.77704069971199,0.839,0.375,0,"1","Diras2"
"Ngef",0,1.50545663619135,0.756,0.294,0,"1","Ngef"
"Kcnh7",0,1.27316899250441,0.778,0.317,0,"1","Kcnh7"
"Gas7",0,1.29912102109432,0.89,0.433,0,"1","Gas7"
"Kcnip3",0,1.45426289371592,0.881,0.43,0,"1","Kcnip3"
"Satb1",0,1.50249130624958,0.884,0.437,0,"1","Satb1"
"Cabp1",0,1.5243603747539,0.927,0.481,0,"1","Cabp1"
"Stx1a",0,1.25871537164076,0.951,0.506,0,"1","Stx1a"
"Ttc9b",0,1.78253882564055,0.74,0.308,0,"1","Ttc9b"
"Rab37",0,3.47833678006212,0.904,0.122,0,"2","Rab37"
"Adra1b",0,3.14412895185446,0.895,0.189,0,"2","Adra1b"
"Prkcd",0,3.48050079804995,0.798,0.093,0,"2","Prkcd"
"Zic1",0,2.34062236758483,0.856,0.176,0,"2","Zic1"
"Pcp4",0,2.82754312953455,0.881,0.232,0,"2","Pcp4"
"Cpne9",0,2.74833963687336,0.909,0.261,0,"2","Cpne9"
"Rgs3",0,2.43992103806725,0.898,0.279,0,"2","Rgs3"
"Plcb4",0,2.53261374765784,0.858,0.249,0,"2","Plcb4"
"Syt9",0,2.11749298302984,0.797,0.197,0,"2","Syt9"
"Ramp3",0,3.16240038786147,0.701,0.126,0,"2","Ramp3"
"Tmem163",0,2.20339656103016,0.81,0.248,0,"2","Tmem163"
"Cit",0,2.14614504159516,0.914,0.394,0,"2","Cit"
"Lrrtm1",0,2.17189770761064,0.82,0.308,0,"2","Lrrtm1"
"Wnt9b",0,3.72213280477464,0.556,0.049,0,"2","Wnt9b"
"Prox1",0,1.5789687171772,0.771,0.277,0,"2","Prox1"
"Ccdc136",0,2.25653659617798,0.657,0.173,0,"2","Ccdc136"
"Mrvi1",0,2.77216098563827,0.587,0.109,0,"2","Mrvi1"
"Adarb1",0,2.25716557561727,0.719,0.241,0,"2","Adarb1"
"Slc6a11",0,1.2772687711482,0.898,0.439,0,"2","Slc6a11"
"Zdhhc22",0,1.97760276126734,0.749,0.293,0,"2","Zdhhc22"
"Lamp51",0,3.01474985664313,0.769,0.151,0,"3","Lamp5"
"Gpr261",0,2.10638000726426,0.902,0.3,0,"3","Gpr26"
"Satb21",0,2.34244006468998,0.748,0.156,0,"3","Satb2"
"Ier51",0,2.30762450941084,0.97,0.382,0,"3","Ier5"
"Kcnh31",0,2.05197727217945,0.864,0.277,0,"3","Kcnh3"
"Kcnh71",0,2.17015711659206,0.898,0.315,0,"3","Kcnh7"
"Kcnq51",0,2.22056120292124,0.869,0.297,0,"3","Kcnq5"
"Arc1",0,2.20336370846063,0.792,0.221,0,"3","Arc"
"Car101",0,2.12985246642067,0.845,0.287,0,"3","Car10"
"Hpca1",0,1.46824550333199,0.849,0.294,0,"3","Hpca"
"Ngef1",0,1.8913493052472,0.846,0.296,0,"3","Ngef"
"Fmnl11",0,2.00800004924108,0.935,0.404,0,"3","Fmnl1"
"Adrb11",0,2.16074852395305,0.766,0.242,0,"3","Adrb1"
"Itpka1",0,1.87410934005639,0.742,0.226,0,"3","Itpka"
"Camkk21",0,2.09176143093725,0.721,0.21,0,"3","Camkk2"
"Kcnk41",0,1.83184364725692,0.811,0.307,0,"3","Kcnk4"
"Tyro31",0,1.57478030125283,0.861,0.358,0,"3","Tyro3"
"Cabp11",0,1.99311428030541,0.982,0.487,0,"3","Cabp1"
"Grasp1",0,1.83918482560091,0.751,0.263,0,"3","Grasp"
"Gas71",0,1.4260219787796,0.926,0.441,0,"3","Gas7"
"Baiap3",0,3.58360157943823,0.818,0.095,0,"4","Baiap3"
"Cartpt",0,6.48556474474894,0.718,0.05,0,"4","Cartpt"
"Ecel1",0,3.72802459952515,0.729,0.104,0,"4","Ecel1"
"Hap1",0,2.87016438866954,0.941,0.317,0,"4","Hap1"
"Vat1l",0,2.50874867279188,0.927,0.31,0,"4","Vat1l"
